site,al,ca,dy,mn,na,k,u,eu,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,cr,th,ni,rb,tb,hf,zn,id
"Festos [Phaistos]",68500,52000,4.42,1089,10600,17900,2.03,1.151,4.863,28.05,4360,.345,24.8,32.66,18.86,51800,55.1,2.34,4.9,.935,539,9.3,391,99,.732,5.17,135,588
"Festos [Phaistos]",78600,85800,4.36,829,6870,15000,2.36,1.043,4.548,28,4490,.38,26.3,37.18,24.04,60700,54.4,2.35,8.1,.887,400.1,10,462,132,.749,3.38,126,589
"Festos [Phaistos]",65800,138000,4.09,1215,8880,22700,3.4,.951,4.39,26.67,3730,.317,23.6,26.23,17.92,48500,50.1,2.02,6.8,.848,292.4,8.27,277,119,.614,2.82,154,590
"Festos [Phaistos]",80600,84600,4.47,763,4970,21000,2.38,1.114,4.509,27.62,4560,.361,25.2,42.03,25.05,62700,52.9,2.39,9.4,.949,461.1,9.89,504,146,.814,3.42,132,592
"Festos [Phaistos]",72000,85500,4.06,849,7510,22000,2.37,1.02,4.508,26.98,4420,.333,24.5,33.75,20.83,55300,53.3,2.25,7,.884,417.1,9.26,383,133,.731,3.54,115,593
"Festos [Phaistos]",69800,55900,4.24,899,8620,18100,2.11,1.133,4.774,27.77,4380,.371,24.5,35.42,20.63,56500,57,2.5,6.3,.922,496,9.77,412,123,.778,4.31,116,594
"Festos [Phaistos]",79500,91800,3.87,993,6570,23000,2.52,1.067,4.455,27.1,4590,.35,24.6,36.09,22.36,59900,53.3,2.42,9.2,.898,400.8,9.62,380,100,.67,3.01,156,595
"Festos [Phaistos]",83400,59000,4.36,792,6030,27700,2.5,1.089,4.627,28.02,4570,.394,24.5,39.94,25.7,63400,55.5,2.42,8.4,.905,443.5,10.19,452,150,.675,3.46,132,596
"Festos [Phaistos]",76900,89900,4.32,940,8360,16000,2.65,1.119,4.745,27.8,4390,.376,25.3,34.42,21.89,58000,57,2.36,8.9,.925,399.2,9.93,374,131,.76,3.84,131,597
"Festos [Phaistos]",72800,100200,3.95,759,5910,21200,2.33,1.013,4.253,25.5,3900,.334,22.5,32.81,21.52,54400,49.8,2.17,7.3,.809,357.7,8.87,360,116,.615,3.16,134,598
"Festos [Phaistos]",79100,61200,4.11,1123,7900,21800,2.2,1.052,4.476,26.23,4600,.335,24.2,36.96,23.32,57900,54.6,2.35,6.8,.866,467.2,9.24,450,115,.698,3.27,100,599
"Festos [Phaistos]",67300,91100,4.15,873,7890,19600,2.67,1.025,4.571,26.84,4240,.36,23.9,31.08,20.38,52100,55.1,2.39,5.8,.845,380.5,9.17,320,119,.77,3.51,108,600
"Festos [Phaistos]",71300,91200,4.36,891,8580,22100,2.37,1.048,4.732,28.51,4470,.37,23.7,32.4,20.85,56400,55.6,2.39,7.6,.92,438.5,9.8,361,144,.721,3.7,113,601
"Festos [Phaistos]",103000,88700,5.61,173,7710,21200,4.94,1.571,8.031,56.96,6910,.523,48.6,14.33,19.81,27000,106.6,3.44,6,2.504,214.5,14.79,83,120,.982,7.76,92,602
"Festos [Phaistos]",69100,84700,4.5,1416,7440,19000,2.15,1.033,4.655,28.33,4450,.346,26.5,34.31,20.81,53400,53,2.34,6,.863,440,9.31,389,117,.733,3.67,99,603
"Festos [Phaistos]",79000,63800,4.1,1104,6310,13600,2.14,1.146,4.575,27.33,4230,.327,22.3,31.53,19.72,53200,51.2,2.26,6.2,.843,450.2,8.98,388,103,.705,3.94,106,604
"Festos [Phaistos]",77200,100400,3.63,764,4490,20300,2.09,1.022,4.077,25.07,3850,.334,21.9,38.36,21.96,60200,46.5,2.16,7.8,.743,449.4,8.61,514,133,.622,3.32,122,605
"Festos [Phaistos]",75600,84100,3.88,873,6320,26700,2.09,1.004,4.318,26.29,3960,.324,20.4,32.91,20.61,53900,52.2,2.44,6.9,.873,457.6,9.45,462,126,.707,3.15,126,606
"Festos [Phaistos]",78000,64600,4.04,899,6720,19800,2.17,1.168,4.724,28.32,4260,.331,24.9,33.69,21.67,58200,55.8,2.41,7.2,.904,479.6,10.46,406,126,.93,3.84,116,607
"Festos [Phaistos]",67800,82300,4.08,930,7400,23200,2.04,1.11,4.401,25.49,3860,.312,21.6,36.35,19.27,55100,50.5,2.22,7.9,.843,573.7,8.51,458,106,.634,3.2,104,608
