site,al,ca,dy,mn,na,k,u,eu,sm,la,ti,lu,nd,co,sc,fe,ce,yb,cs,ta,cr,th,ni,rb,tb,hf,zn,id
"Nichoria",94000,65400,5.44,1027,910,10700,2.29,1.478,6.395,37.64,5280,.477,30.3,45.18,26.47,71100,79,3.21,2.8,1.189,371.5,13.28,456,43,1.016,4.1,140,855
"Nichoria",92600,62400,5.68,1330,880,6200,2.21,1.523,6.562,38.41,5400,.478,30.7,45.08,26.14,71200,79.6,3.35,1.8,1.146,359.7,12.93,414,90,.909,3.22,140,856
"Nichoria",85600,38800,4.27,185,3580,12200,3.08,.963,4.768,36.26,5270,.383,28,8.68,18.23,38600,70.4,2.53,4.3,1.165,267,12.94,100,82,.721,5.93,77,857
"Nichoria",81800,95600,5.12,879,4220,13500,1.94,1.381,5.93,36.7,5570,.438,31.3,30.56,23.33,59700,70.9,2.92,.9,.945,266.4,12.71,200,46,1.009,3.96,125,858
"Nichoria",83900,60600,5.56,951,1230,6400,2.31,1.449,6.221,36.05,5170,.422,32.1,35.26,23.35,62800,73.9,2.99,3.5,2.375,350.5,11.56,321,40,1.181,3.98,110,859
"Nichoria",85200,93000,4.87,859,3280,20400,1.88,1.324,5.665,33.48,4920,.411,30.3,43.58,25.66,61600,71.7,2.88,5.5,.936,368.9,12.01,369,76,.973,3.2,142,860
"Nichoria",82500,69000,5.59,982,2150,11600,2.63,1.465,6.527,38.23,5570,.441,31.7,38.68,24.45,59200,79,3.03,1.7,1.042,357,12.06,379,69,1.126,3.6,82,861
"Nichoria",77100,45300,7.09,317,5820,8000,2.41,1.919,8.378,43.86,5240,.528,42.7,20.02,17.99,45700,92,3.72,1.2,1.213,315,13.39,200,39,1.403,5.95,109,862
"Nichoria",55500,80600,5.1,1115,4860,6400,1.7,1.44,5.807,31.54,4240,.387,25.6,25.62,14.37,42400,61.6,2.74,1.4,.906,289.9,9.7,181,42,1.029,4.63,66,863
"Nichoria",59000,43700,5.47,479,7020,14800,2.4,1.54,6.377,35.28,4420,.409,29.9,17.29,15.51,43900,70.9,3.1,3.4,1.07,316.1,10.66,159,105,1.035,6.29,77,864
"Nichoria",74400,55700,5.43,583,5810,14100,3.06,1.402,6.128,36.04,4870,.439,29.7,26,18.74,49500,71.4,2.94,4,1.122,336.4,12.34,279,156,.926,5.21,105,865
"Nichoria",61600,8200,6.02,885,4130,21200,2,1.533,6.418,37.84,3980,.416,32.6,28.13,15.4,39800,75.8,3.22,5.8,.948,168.6,10.31,136,160,1.087,4.66,101,866
"Nichoria",67100,10900,10.19,1114,7360,11600,2.29,2.41,10.17,45,3810,.689,46.3,17.67,14.8,41700,91.3,5.35,4.9,.994,335.7,10.47,283,98,1.738,6.15,111,867
"Nichoria",65100,79300,5.17,690,6300,16400,2.86,1.341,5.845,32.23,4340,.379,33.9,19.97,17.5,48200,63.5,2.8,3.6,.95,295.6,10.25,186,113,.863,4.71,53,868
"Nichoria",72100,33300,5.38,599,4660,22500,2.62,1.373,6.236,35.99,4650,.405,32.2,23.77,16.68,54400,73.1,3.21,5.8,1.08,317.7,11.56,225,121,.871,5.23,105,869
"Nichoria",59400,6000,6.13,567,4200,19400,1.86,1.784,7.438,39.46,3870,.426,40.6,29.38,15.52,37500,73.8,3.43,5.8,.911,200.8,10.75,166,144,1.167,5.31,107,870
"Nichoria",80900,47800,5.49,1011,6260,22900,2.8,1.542,6.473,38.09,5130,.451,35.2,37.43,21.74,62300,76.2,3.4,5.2,1.168,384.1,12.44,326,178,1.06,4.81,139,871
"Nichoria",120500,3900,14.32,996,6620,28700,5.09,4.713,21.066,103.43,5970,.807,104.7,23.31,26.18,71800,151.3,7.24,9.2,1.724,148.7,19.97,157,180,2.901,5.94,159,872
"Nichoria",66300,62700,6.07,914,4600,19300,2.28,1.713,7.247,40.68,4090,.479,37.8,27.91,17.24,38800,72.1,3.42,6,1.052,171.1,11.1,129,131,1.148,3.55,110,873
"Nichoria",66200,45900,5.7,952,5490,14000,3.46,1.452,6.596,34.63,4220,.445,33.7,26.73,15.63,48200,68,3.29,4.1,1.055,287.1,10.91,180,49,1.03,5.07,107,874
"Nichoria",85100,6700,14.12,607,2650,16200,3.31,4.534,19.36,86.16,5150,.974,99.5,95.78,21.51,55100,132.1,7.26,7,1.376,230.9,14.09,293,102,2.675,5.47,159,875
"Nichoria",82100,10000,6.23,204,2660,18600,3.02,1.506,6.75,35.87,5320,.516,35.5,11.62,17.85,46500,68.6,3.61,5.7,1.218,369.5,12.27,135,112,1.104,5.68,88,876
"Nichoria",74100,70000,5.41,602,7720,18700,2.39,1.457,6.409,37.93,4840,.439,34,26.86,17.03,41600,76.9,2.97,5,1.207,273.7,12.37,190,139,1.016,5.53,125,877
"Nichoria",64300,41700,6.27,656,5870,17800,2.19,1.61,7.162,37.13,4060,.477,34.4,23.13,15.59,37300,67.6,3.29,5.3,.978,218.4,10.33,148,127,1.058,4.8,78,878
"Nichoria",68100,12700,7.64,755,4840,27500,2,2.009,8.388,45.71,4410,.558,41.4,27.09,17.76,42600,76.2,3.9,6.8,1.047,218.4,10.89,190,155,1.509,4.65,133,879
"Nichoria",61400,54300,6.5,957,8520,15000,2.07,1.729,7.11,30.24,3670,.525,34,20.91,13.49,41200,59.3,3.37,2.2,.842,374,8.96,149,51,1.084,5.06,66,880
"Nichoria",80000,70000,4.36,1639,3990,28400,2.34,1.245,5.414,33.1,4610,.399,30,32.24,20.82,55700,64.7,2.84,6.4,.965,234.2,11.71,231,117,.854,4,141,881
"Nichoria",74900,19300,5.57,277,2500,16200,2.76,1.253,6.081,33.04,4980,.494,29.3,12.96,16.17,45900,61.2,3.14,3.4,1.098,350.5,11.38,112,107,.923,6,88,882
"Nichoria",77700,60900,5.77,726,4900,16900,2.67,1.547,6.853,39.56,5060,.481,31.4,26.71,19.01,57400,81.5,3.23,.8,1.125,305,12.43,193,95,.959,5.4,135,883
"Nichoria",82400,22700,5.62,493,3250,9800,2.13,1.637,6.903,39.17,5190,.472,30,22.83,20.14,52600,72.2,3.07,1.7,1.064,315.4,11.96,207,66,1.005,5.31,123,884
"Nichoria",102700,14200,4.12,442,3460,12400,3.31,.994,4.968,36.05,5710,.405,23.5,13.07,22.56,51000,74.5,2.62,2,1.236,316.9,13.58,118,54,.727,5.19,103,885
"Nichoria",80400,36800,6.4,638,4800,18900,2.6,1.647,7.016,39.15,5040,.485,27.4,25.12,19.51,51700,74.6,3.55,1.7,1.055,320.2,12.14,254,70,1.038,5.25,110,886
"Nichoria",84600,46600,4.87,931,2790,8400,2.14,1.329,5.487,33.01,4940,.432,28,40.48,23.93,67700,64.5,2.76,1.5,1.013,458.9,11.37,479,43,.87,4.03,150,887
"Nichoria",67400,1100,7.25,1035,3570,9000,1.79,2.32,9.716,42.47,4340,.59,46.8,39.76,18.15,44400,106.2,4.16,3.8,.927,231.7,11.44,205,69,1.449,4.51,132,888
"Nichoria",80600,44400,5.85,1078,6490,14100,3.32,1.555,7.006,41.07,5270,.457,35.3,33.41,20.32,62700,84.7,3.45,1.3,1.198,266,14.13,257,68,.983,5.84,162,889
"Nichoria",79800,14100,10.49,1060,5080,19400,2.56,2.481,10.462,52.55,4770,.649,48.1,34.54,20.13,108300,80.6,4.68,3.1,1.051,286,12.62,273,114,1.854,5.41,203,890
"Nichoria",82700,84300,5.89,1327,5950,4800,1.71,1.718,7.218,40.71,5080,.473,37.9,27.11,21.05,56500,72.5,3.27,.8,1.064,245.9,12.34,224,22,1.06,5.31,134,891
"Nichoria",79300,35200,6.17,658,4900,12800,2.62,1.585,7.004,39.38,4940,.508,33,25.44,18.87,51300,74,3.29,2.7,1.013,291.6,11.51,250,56,1.117,4.95,133,892
"Nichoria",84000,48700,5.98,621,6410,18300,3.2,1.585,7.133,42.1,5110,.502,35.5,27.55,20.35,59300,81.9,3.21,1.6,8.057,278.3,13.64,235,99,1.085,5.04,142,893
"Nichoria",91000,48100,5.81,713,6810,16400,3.06,1.663,6.847,41.23,5110,.466,33,28.72,20.71,58700,83.2,3.34,2,1.147,264.6,12.95,248,101,1.12,6.06,150,894
"Nichoria",81100,38300,5.86,1080,4300,11300,2.66,1.601,7.032,40.01,5270,.467,33.1,23.91,19.02,51200,78.1,3.4,1.3,1.245,277.5,12.42,173,21,1.105,6.3,102,895
"Nichoria",87100,48200,5.97,648,5940,18600,3.34,1.602,7.132,44.16,5400,.478,37.7,26.21,21.59,59400,84.1,3.25,1.3,1.174,289.9,13.58,220,76,1.196,5.71,155,896
"Nichoria",82900,58100,6.38,721,5480,12600,2.33,1.757,7.483,44.52,5010,.5,36.5,25.15,20.49,55000,85.1,3.39,1.7,1.179,291.1,13.22,184,52,1.043,5.57,114,897
"Nichoria",84100,21600,6.67,1044,5830,13600,2.59,1.806,7.757,41.07,4810,.561,38,51.08,38.22,105500,151.7,6.37,5.2,2.108,535.3,24.57,378,223,2.295,11.06,250,898
"Nichoria",84400,51100,6.17,588,6790,18800,3.17,1.6,6.938,41.61,5190,.511,35.3,26.24,20.36,58800,79.9,3.14,2.3,1.155,259.5,13.81,210,64,1.167,5.75,148,899
"Nichoria",89900,63900,5.86,1099,1610,6200,2.32,1.655,6.637,39.22,6150,.513,27.9,32.99,26.4,64900,78.4,3.21,1.1,.995,291.8,13.62,223,41,.983,4.64,123,900
"Nichoria",78500,33800,6.38,643,4370,11800,2.53,1.705,6.988,39.2,4840,.513,31.4,25.15,19.53,51000,77,3.49,1.7,1.061,318.5,12.02,183,59,1.112,5.49,108,901
"Nichoria",89600,71100,5.89,1241,1840,8300,2.23,1.593,6.524,39.09,5820,.512,33.2,34.21,26.21,62000,73.8,3.29,.5,1.016,294.2,13.45,244,48,1.009,4.17,134,902
"Nichoria",97300,7000,6.98,950,5440,20800,2.75,1.871,8.302,49.97,5750,.532,45,30.17,22.84,62300,95.3,3.78,7.5,1.423,256.5,14.29,174,127,1.356,5.61,184,903
"Nichoria",66600,126200,4.18,741,3290,16100,2.32,1.098,4.731,28.33,4110,.371,27.8,28.65,18.05,42800,56.9,2.43,5.6,.88,227.2,9.88,215,111,.807,3.22,146,904
"Nichoria",73800,69500,5.65,577,6900,21700,5.31,1.384,6.253,35.54,4690,.443,34,30.28,17.77,48300,81.3,3.13,6.4,1.114,245.1,11.22,252,119,1.025,4.96,106,905
"Nichoria",66200,60000,5.26,599,6220,17700,4.42,1.32,6.048,36.08,4620,.438,36.4,19.01,17.23,45600,65.8,2.87,6.4,1.067,248.6,10.9,180,120,.934,4.74,96,906
"Nichoria",79100,42000,6.7,858,7130,17100,2.83,1.718,7.128,40.81,4630,.499,40.4,26.29,18.75,49700,70.7,3.47,8.1,1.158,270,11.14,257,137,1.235,4.26,155,907
"Nichoria",64900,5900,7.32,417,7370,13900,2.21,1.847,7.977,40.36,4210,.541,44,20.51,15.26,44000,70.6,3.75,5.8,.983,339,10.26,205,87,1.377,5.3,94,908
"Nichoria",80600,91300,4.69,909,3920,23000,2.57,1.355,5.734,34.48,5060,.397,33.9,33.19,22.52,52100,65.5,2.9,8.9,.989,258.5,11.64,254,145,.913,3.57,139,909
"Nichoria",70200,57500,5.33,494,6320,18100,4.58,1.406,6.189,34.09,4560,.443,36.7,24.85,17.19,47500,86.7,3.15,5.9,1.107,258,11.42,179,98,1.04,5.69,110,910
"Nichoria",68200,116400,4.15,802,3470,18300,2.44,1.16,4.963,30.09,4340,.359,28.2,29.64,18.71,44000,60,2.5,5.9,.898,237.2,10.22,215,87,.755,3.1,132,911
"Nichoria",86100,42000,6.09,716,8410,22300,2.77,1.668,7.24,43.02,5230,.488,36.9,33.91,20.71,55000,89.3,3.43,6.7,1.289,217,13.42,144,138,1.17,4.96,132,912
"Nichoria",61800,39700,4.98,1240,7180,11900,1.99,1.376,5.88,31.23,4260,.428,31,28.01,15.09,34400,60.8,3.02,4.3,.87,331.4,9.55,197,114,.999,4.93,112,913
"Nichoria",67200,116400,4.23,740,3320,18800,2.32,1.114,4.766,28.65,4350,.345,25.4,27.64,18.2,42300,55.3,2.51,5.5,.811,225.8,9.79,210,138,.805,3.19,133,914
"Nichoria",86500,67100,4.8,942,5180,22700,2.28,1.217,5.473,31.29,5280,.376,31.4,26.92,21.45,56200,67.3,2.91,7.2,.962,246.5,12.08,202,150,.945,4.1,114,915
"Nichoria",84600,50500,5.48,702,7300,27700,2.71,1.379,5.998,34.57,4730,.411,32.2,33.36,19.96,52800,70.8,2.94,7.8,.977,348.6,11.94,297,204,.962,4.48,130,916
"Nichoria",64400,22600,5.44,340,4040,22900,2.2,1.432,6.173,33.1,4010,.453,32.4,24.56,16.09,38600,67.6,3.11,5.6,.958,174.3,10.87,153,124,.985,4.97,97,917
"Nichoria",73800,66200,8.34,889,6140,20300,2.4,2.184,9.124,48.01,4510,.525,49.2,29.6,17.07,42200,76.3,4.22,5.5,1.062,249.3,11.68,244,166,1.509,4.36,110,918
"Nichoria",108600,20200,5.56,238,7660,22800,2.97,1.526,7.426,46.49,5680,.491,41.7,11.15,22.62,60000,86.1,3.31,8.4,1.579,162.1,17.25,80,200,1.105,6.56,109,919
"Nichoria",85300,78000,4.73,1072,4470,26100,2.31,1.229,5.391,33,5060,.391,29.7,30.98,23.12,56900,68.9,2.78,10.3,.966,260.4,11.96,244,208,.874,3.89,109,920
"Nichoria",69700,75000,4.93,606,5550,25200,2.75,1.396,5.875,31.9,4650,.403,31.8,23.8,18.89,46900,65.2,2.86,8,.959,237,10.79,266,169,.971,3.73,92,921
"Nichoria",82800,29300,6.05,1329,8020,22200,2.46,1.463,6.607,39.99,4960,.434,36.9,39.23,19.43,48300,81.4,3.36,7.2,1.199,210,12.79,223,159,1.029,5.32,104,922
"Olympia-Kolosakos, Elis",77800,86000,6,1118,8010,29500,2.12,1.25,5.25,29.4,4520,.399,31.4,28.9,21.29,54200,58.7,2.61,5.05,.798,297,10.68,284,141,.76,3.68,96,924
"Olympia-Kolosakos, Elis",81300,86000,5.8,1025,7460,29700,2.33,1.31,5.27,28.8,4250,.404,27.8,28.6,22.43,54900,57.6,2.59,7.67,.77,267,10.45,238,198,.78,3.51,157,925
"Olympia-Kolosakos, Elis",72400,65000,5.48,1053,10030,31500,2.18,1.09,4.8,26.1,4130,.354,28.6,25.1,19.28,49700,54,2.3,6.28,.752,274,9.51,230,135,.85,3.72,112,926
"Olympia-Kolosakos, Elis",75700,72000,5.55,949,9170,32700,2.36,1.27,5.06,29,4390,.369,28.9,26.1,20.18,51700,56.3,2.39,7.07,.792,292,10,231,181,.91,3.58,136,927
"Olympia-Kolosakos, Elis",85000,62000,5.82,1154,9950,33400,2.12,1.14,5.33,30.5,4910,.412,29.9,28.3,21.65,54300,60,2.76,6.85,.872,270,11.36,193,179,.79,4.42,147,928
"Olympia-Kolosakos, Elis",76300,73000,4.57,903,6810,19800,2.43,1.17,5.18,28.7,4490,.391,27.4,25.8,20.99,53700,56.8,2.67,6.63,.799,292,10.45,239,167,.76,4.37,126,929
"Olympia-Kolosakos, Elis",77300,103000,4.52,1048,7240,21000,2.35,1.17,5.15,29.2,4400,.418,28.4,26.5,21.41,48900,55,2.56,6.49,.745,280,10,234,149,.82,3.28,81,930
"Olympia-Kolosakos, Elis",85900,87000,5.33,1139,3960,17000,2.26,1.42,5.99,33.1,5090,.455,32.9,28.2,23.35,57500,61.4,2.96,1.52,.874,304,11.66,280,67,1.04,3.1,82,931
"Olympia-Kolosakos, Elis",72600,63000,4.04,908,8320,22400,2.03,1.16,4.81,26.1,4330,.36,26.2,25.2,18.26,47600,51.2,2.53,5.01,.72,251,9.44,178,120,.84,3.77,127,932
"Olympia-Kolosakos, Elis",84000,49000,4.48,1007,9520,25000,2.17,1.17,5.13,29.1,5090,.438,34,28.6,21.52,53900,59.2,2.69,6.97,.888,286,10.86,208,146,.82,4.45,117,933
"Olympia-Kolosakos, Elis",76200,72000,4.88,845,8510,28400,2.39,1.1,5.15,28.7,4450,.397,25.6,27.1,20.44,52500,57.4,2.65,7.33,.809,265,10.29,209,155,.75,3.73,86,934
"Olympia-Kolosakos, Elis",79900,62000,4.79,914,6670,22000,2.33,1.23,5.33,28.4,4440,.4,28.5,26,20.01,53400,55.8,2.59,6.23,.764,281,10.23,264,142,.85,3.73,69,935
"Olympia-Kolosakos, Elis",71000,77000,5.22,1183,7410,24000,2.15,1.32,5.38,29.9,4700,.44,26.1,26.5,20.72,54100,55.6,2.83,6.34,.762,283,10.23,233,163,.7,4.34,99,936
"Olympia-Kolosakos, Elis",76900,58000,4.73,951,8170,27800,2.26,1.2,5.25,28.8,4810,.405,26.5,28.4,21.57,54900,60.4,2.75,7.36,.869,303,10.98,264,158,.72,4.02,105,937
"Olympia-Kolosakos, Elis",85000,54000,5.09,1004,8100,23300,2.22,1.25,5.62,31.8,4790,.433,25.1,28.4,22.8,56800,58.4,3.1,6.74,.835,293,11.48,237,171,.83,3.47,112,938
"Olympia-Kolosakos, Elis",72500,72000,5.07,1188,8780,20500,2.2,1.08,4.87,26.2,4290,.345,23.1,26,19.21,49900,57.9,2.4,5.97,.774,265,10,233,150,.74,3.88,85,939
"Olympia-Kolosakos, Elis",63700,124000,4.55,904,4850,19000,2.35,1.11,4.89,26.5,3650,.341,22.2,23.2,17.39,44300,51.1,2.48,6.05,.652,230,9.24,173,139,.79,3.17,114,940
"Olympia-Kolosakos, Elis",66600,78000,4.43,877,7980,23300,2.03,1.08,4.81,25.5,3750,.319,23.2,23.5,16.89,44500,51.2,2.46,5.17,.676,232,8.83,198,108,.74,3.26,99,941
"Perati (Attica)",61000,98000,4.04,913,5450,15800,3.01,.969,4.551,24.12,4280,.354,23.8,40.2,20.01,47600,55.5,2.38,18.7,.725,678.7,8.22,427,122,.753,4.17,106,944
"Perati (Attica)",65800,108000,4.14,742,5270,16700,1.66,1.08,4.409,22.74,4350,.326,19.4,32.15,21.5,45700,48,2.31,23.7,.723,637.9,7.87,477,127,.761,3.78,88,945
"Perati (Attica)",68900,98800,4.32,672,9710,11100,2.04,1.055,4.673,24.63,4580,.349,23.1,31.2,23.16,46100,51,2.62,38,.76,663.4,8.06,476,86,.71,4.61,61,946
"Perati (Attica)",71100,75600,5.28,1022,5720,12100,2.09,1.312,5.793,29.7,5580,.421,31.3,37.05,24.34,63500,60.4,3.15,6.9,.949,741.9,10.48,494,64,.999,5.26,94,947
"Perati (Attica)",71200,125300,4.11,759,5330,19200,2.12,1.001,4.372,23.2,4300,.356,20,34.11,21.7,55500,45.2,2.31,40.4,.68,589.5,7.97,450,158,.71,3.86,104,948
"Perati (Attica)",68700,17100,4.75,451,10380,19300,2.1,1.132,5.416,30.15,5060,.435,33.5,35.26,20.8,53400,64.5,2.58,6,.972,913.5,10.86,474,140,.775,5.44,109,949
"Perati (Attica)",68700,67600,4.52,696,5090,14000,2.93,1.053,5.004,25.79,4840,.387,28,25.88,22.25,54200,53.5,2.56,16.9,.806,750.8,8.85,441,103,.713,5.34,114,950
"Perati (Attica)",57900,121600,4.16,631,5000,12600,1.81,.984,4.572,23.7,3870,.323,25.2,25.17,17.84,40900,46.9,2.24,7.9,.592,407.2,7.28,269,62,.65,4.37,83,951
"Perati (Attica)",63600,99900,4.17,801,5400,13100,2.14,1.019,4.562,23.72,4610,.374,19.1,30.49,21.82,50500,46.1,2.13,29.6,.68,569.3,7.79,422,149,.686,3.94,106,952
"Perati (Attica)",65500,98500,4.46,795,4350,10700,1.77,1.149,4.791,23.43,5050,.393,24.8,41.45,22.89,59800,49.5,2.44,12.3,.807,629.2,8.76,585,109,.783,4.3,118,953
"Perati (Attica)",66600,47500,3.44,977,5410,14900,1.82,.953,3.977,21.72,5080,.359,19.5,38.2,22.98,60300,45.4,2.04,9.9,.773,909.7,7.85,593,95,.555,4.23,132,954
"Perati (Attica)",58100,113300,3.99,765,4380,15400,2.1,1.038,4.276,21.04,4370,.364,23.5,31.16,20.6,49400,46.2,2.31,24.9,.784,617,7.55,433,79,.659,3.44,98,955
"Perati (Attica)",57100,123500,3.64,951,3790,16700,1.42,1.005,4.077,21.01,4060,.318,21.8,38.96,19.85,57000,43.4,2.09,15.1,.691,529.8,7.58,578,83,.709,3.41,94,956
"Perati (Attica)",51500,97700,3.42,560,7580,9700,2.17,.939,3.787,20.46,3310,.293,21.7,21,16.08,35000,40.7,1.86,16.9,.616,440.5,6.41,311,60,.624,3.76,79,957
"Perati (Attica)",85500,11400,7.1,914,7470,18900,2.52,1.705,7.063,35.63,5230,.679,36.9,28.97,20.47,63100,82,4.23,4.8,1.211,396.6,13.98,271,93,1.146,6.05,114,958
"Perati (Attica)",69700,99200,3.92,742,9410,13000,2.1,1.053,4.232,20.23,4610,.345,22,33.41,23.18,46000,46,2.31,37.7,.758,704.4,8.45,536,97,.727,4.04,56,959
"Perati (Attica)",71500,88500,4.82,778,4200,12700,2.26,1.35,5.367,28.51,4720,.395,29.2,28.13,20.86,54100,59.1,2.59,7.2,.907,645.4,9.53,467,56,.824,4.98,104,960
"Perati (Attica)",71200,101000,4.07,969,6010,17900,2.07,1.131,4.523,23.61,4060,.351,23.7,34.62,22.22,50700,49.8,2.36,35.4,.75,579,8.37,471,122,.831,4.19,112,961
"Perati (Attica)",63100,112900,3.65,1081,4710,16900,1.69,.971,4.022,22.85,3680,.334,21.6,37.15,21.23,57100,42.9,2.03,15.4,.656,854.7,7.15,510,69,.677,3.42,107,962
"Perati (Attica)",60000,61200,4.07,782,4950,16200,3.07,.99,4.166,21.31,5700,.379,20.7,27.51,22.86,58100,48.6,2.23,20.3,.938,791.2,8.34,518,100,.771,5.26,99,963
"Perati (Attica)",66500,89400,4.01,585,9240,11900,2.16,1.045,4.432,23.67,4430,.317,20.8,28.42,23.24,47600,49.5,2.54,39.7,.765,683.2,8.32,422,97,.704,3.83,72,964
"Perati (Attica)",56600,124400,3.98,1317,2780,7300,1.44,.962,4.186,20.77,4460,.342,17.4,36.18,20.36,59700,43.7,2.23,11.6,.739,546.3,7.57,481,56,.734,3.62,116,965
"Perati (Attica)",60300,106700,4.25,798,4450,12700,1.68,1.029,4.396,22.08,4410,.36,21.4,34.68,21.57,59300,46.6,2.36,21.6,.765,626.6,7.84,568,110,.708,3.91,121,966
"Perati (Attica)",65400,109000,3.86,722,5850,15400,2.04,.976,4.2,21.09,3950,.319,24.2,27.77,22.09,49800,47.1,2.23,33.2,.772,645.2,7.56,431,106,.693,3.52,94,967
"Perati (Attica)",78700,83800,4.92,816,10990,20600,2.4,1.218,5.466,29.59,4460,.423,29.1,38.77,24.04,56900,62.3,2.8,16.6,.857,604.8,10.2,429,93,.791,4.25,135,968
"Peristeria, Messenia [Peristeria]",65300,3000,3.52,1541,2430,23113,1.66,.8057,3.41,20.6,4000,.3921,14.2,42.6,17.25,50600,60,2.5051,4.67,.811,346,10.3,305,81,.6,4.65,114,969
"Peristeria, Messenia [Peristeria]",69300,35000,6.12,392,6310,13514,1.88,1.7726,7.24,37.7,4130,.4862,33.9,23.6,16.1,49100,72.2,3.319,4.16,.862,331,10.23,239,96,1.1,4.67,106,970
"Peristeria, Messenia [Peristeria]",75500,8000,6.33,998,3700,23113,2.33,1.6741,6.95,41.8,5510,.5623,39.8,38.4,19.18,55100,75,3.7101,6.18,1.122,374,12.13,299,136,1.1,5.34,157,971
"Peristeria, Messenia [Peristeria]",76400,14000,3.35,164,9180,18267,2.12,.9132,3.77,21.7,3610,.3763,17.5,12.4,16.19,45200,46.5,2.3994,3.75,.728,300,10.05,161,97,.59,5.26,58,972
"Peristeria, Messenia [Peristeria]",58000,113000,4.6,1130,2050,6803,1.54,1.4056,5.84,31.1,3900,.4017,27.2,28.2,15.12,41400,63.4,2.5474,2.33,.899,133,10.45,151,43,.89,4.39,93,973
"Peristeria, Messenia [Peristeria]",71500,36000,4.19,750,3780,6990,2.14,1.0654,4.57,28,4630,.3985,22.6,25.7,17.53,51500,55,2.8645,1.72,.945,376,10.89,168,43,.73,5.59,80,974
"Peristeria, Messenia [Peristeria]",73000,15000,3.5,690,2030,9226,1.84,.9221,3.97,25.6,3990,.3995,19,20.2,15.08,53500,48.1,2.3888,2.05,.864,253,10.88,146,61,.63,4.85,84,975
"Peristeria, Messenia [Peristeria]",83600,3000,6.22,1025,3250,18173,2.41,1.5219,6.68,37.5,5210,.5422,31,37.1,18.98,57900,71.7,3.4775,5.94,1.099,401,12.6,261,135,1.1,5.72,157,976
"Peristeria, Messenia [Peristeria]",75500,58000,5.06,812,2480,10531,2.01,1.3787,5.93,32.7,4650,.4143,29.4,18.6,17.05,53300,68.6,2.5685,3.92,.922,251,11.25,150,45,.93,4.36,62,977
"Peristeria, Messenia [Peristeria]",94000,93000,5.22,516,7050,5126,1.86,1.5219,6.46,33.6,5100,.3974,29.3,18.6,22.81,59400,72.8,2.7165,6.39,1.1,309,13.64,230,51,.95,5.55,35,978
"Peristeria, Messenia [Peristeria]",75800,75000,2.5,383,3250,3914,2.28,1.4772,6.15,33.9,4950,.4661,33.3,26.2,20.09,57100,67.5,3.2661,4.17,1.252,290,12.67,250,49,1.05,4.93,85,979
"Peristeria, Messenia [Peristeria]",81600,118000,4.51,816,13260,25443,.97,1.2892,5.44,29.7,4770,.3773,28.4,27.5,22.7,55800,60.1,2.6531,8.73,.953,279,12.25,217,33,.83,4.36,63,980
"Peristeria, Messenia [Peristeria]",81900,114000,4.43,1207,6570,12768,1.19,1.325,5.71,29.3,5080,.3773,28.2,38.8,22.14,61800,61.7,2.3148,3.93,1.128,231,13.72,313,33,.85,4.53,118,981
"Peristeria, Messenia [Peristeria]",80000,42000,5.6,519,5120,20224,2.46,1.4593,6.31,35.8,4900,.4788,32.7,21.9,17.05,47000,72.7,3.4564,5.29,.998,198,11.95,160,98,.96,5.59,118,982
"Peristeria, Messenia [Peristeria]",65000,6000,3.68,140,1450,10531,1.61,.949,4.34,28.7,3790,.3752,24.4,8.2,14.97,44600,49.7,2.5685,5.54,.879,221,10,78,88,.67,4.46,53,983
"Peristeria, Messenia [Peristeria]",69300,31000,6.34,422,6180,19012,1.93,1.6025,6.8,34.4,4180,.4862,33.3,23.8,15.58,48300,72.5,3.4564,3.39,.861,325,10,223,80,1.07,4.81,85,984
"Peristeria, Messenia [Peristeria]",78100,112000,2.9,277,2390,13607,1.76,.7073,3.14,23.3,4030,.3499,17.8,8.9,14.79,53500,37.4,2.188,3.84,1.045,276,11.81,138,79,.54,4.93,70,985
"Peristeria, Messenia [Peristeria]",59600,121000,4.68,739,1990,6990,1.54,1.1817,5.14,27.6,3400,.3657,28.4,22.4,14.49,39900,57.3,2.4311,1.95,.765,140,9.51,191,117,.75,3.39,81,986
"Peristeria, Messenia [Peristeria]",65500,115000,4.3,898,1900,15284,2.15,1.2265,5.11,29.8,3850,.3742,26.5,22.9,16.47,44100,56.4,2.4628,3.28,.758,197,9.48,184,76,.76,3.52,100,987
"Peristeria, Messenia [Peristeria]",79900,63000,5.12,857,3720,21342,2.13,1.316,5.77,34.4,4600,.4334,32,34.1,21.15,57900,68.2,3.1393,6.15,.998,277,12.37,328,96,.9,3.99,96,988
"Palaiokastro (Arcadia)",70600,63000,4.92,1091,5410,19664,2.36,1.3518,5.6,31.9,4400,.4186,29.4,26.6,20.55,51200,61.3,2.9173,5.72,.813,222,10.24,177,134,.8,3.51,130,989
"Palaiokastro (Arcadia)",70800,122000,4.34,1164,5680,23486,2.23,1.3339,5.24,28.3,4250,.3763,28.2,32.4,21.82,53600,58.9,2.7588,6.96,.812,279,10.99,209,152,.78,4.11,115,990
"Palaiokastro (Arcadia)",70100,84000,5.19,596,4710,16403,3.33,1.3966,5.68,31.5,4420,.4313,26.2,21.8,18.91,49100,64,3.1076,3.81,.873,275,10.95,194,91,.86,4.31,90,991
